State,Year,Quarter,Reg_name,Reg_users,App_opening
telangana,2020,3,rajanna sircilla district,145258,4948986
telangana,2020,3,nagarkurnool district,205810,9825044
telangana,2020,3,peddapalle district,259183,11171940
telangana,2020,3,nirmal district,134124,4435475
telangana,2020,3,mahabubabad district,164800,7776597
telangana,2020,3,sangareddy district,649580,23488143
telangana,2020,3,wanaparthy district,117968,5003628
telangana,2020,3,vikarabad district,186369,6732351
telangana,2020,3,jagtial district,232101,7411018
telangana,2020,3,yadadri bhuvanagiri district,223066,9822913
telangana,2020,3,medak district,160492,5966321
telangana,2020,3,mahbubnagar district,243998,9270326
telangana,2020,3,jaya shankar bhalupally district,100886,5210450
telangana,2020,3,warangal urban district,535485,22283028
telangana,2020,3,rangareddy district,2495699,84072270
telangana,2020,3,hyderabad district,2875965,81783431
telangana,2020,3,suryapet district,269601,10631693
telangana,2020,3,jogulamba gadwal district,126584,5055006
telangana,2020,3,kamareddy district,201892,7423110
telangana,2020,3,mulugu district,59368,2688237
telangana,2020,3,medchal malkajgiri district,2111567,78894984
telangana,2020,3,karimnagar district,394328,14576555
telangana,2020,3,mancherial district,242301,10591575
telangana,2020,3,siddipet district,294416,11731189
telangana,2020,3,khammam district,421101,17045442
telangana,2023,3,narayanpet district,187837,26010311
telangana,2023,3,nalgonda district,902281,57531065
telangana,2023,3,jangaon district,304779,26259874
telangana,2023,3,bhadradri kothagudem district,616038,50837435
telangana,2023,3,warangal rural district,343730,15897326
telangana,2023,3,kumuram bheem asifabad district,170911,32745621
telangana,2023,3,nizamabad district,823846,29030670
telangana,2023,3,adilabad district,241309,43245330
telangana,2023,3,rajanna sircilla district,293845,17964324
telangana,2023,3,nagarkurnool district,429268,46447551
telangana,2023,3,peddapalle district,517740,14386120
telangana,2023,3,nirmal district,279955,35868659
telangana,2023,3,mahabubabad district,342724,21044568
telangana,2023,3,sangareddy district,1310211,49402523
telangana,2023,3,wanaparthy district,243013,16111404
telangana,2023,3,vikarabad district,386215,37568224
telangana,2023,3,jagtial district,471076,16892569
telangana,2023,3,yadadri bhuvanagiri district,455826,32903668
telangana,2023,3,medak district,331867,22693923
telangana,2023,3,mahbubnagar district,495167,23489446
telangana,2023,3,jaya shankar bhalupally district,207019,14921265
telangana,2023,3,warangal urban district,1039220,13600198
telangana,2023,3,rangareddy district,4809474,81028626
telangana,2023,3,hyderabad district,5543537,32313643
telangana,2023,3,suryapet district,557642,32372476
telangana,2023,3,jogulamba gadwal district,265074,24721876
telangana,2023,3,kamareddy district,417147,24226230
telangana,2023,3,mulugu district,125966,14558305
telangana,2023,3,medchal malkajgiri district,4064256,29688685
telangana,2023,3,karimnagar district,775594,19370181
telangana,2023,3,mancherial district,491797,25550626
telangana,2023,3,siddipet district,595192,35541493
telangana,2023,3,khammam district,857112,29518590
telangana,2018,3,narayanpet district,24511,0
telangana,2018,3,nalgonda district,134723,0
telangana,2018,3,jangaon district,47948,0
telangana,2018,3,bhadradri kothagudem district,94215,0
telangana,2018,3,warangal rural district,57086,0
telangana,2018,3,kumuram bheem asifabad district,23354,0
telangana,2018,3,nizamabad district,120650,0
telangana,2018,3,adilabad district,33800,0
telangana,2018,3,rajanna sircilla district,50080,0
telangana,2018,3,nagarkurnool district,56759,0
telangana,2018,3,peddapalle district,102365,0
telangana,2018,3,nirmal district,41370,0
telangana,2018,3,mahabubabad district,52527,0
telangana,2018,3,sangareddy district,220802,0
telangana,2018,3,wanaparthy district,35054,0
telangana,2018,3,vikarabad district,50915,0
telangana,2018,3,jagtial district,76056,0
telangana,2018,3,yadadri bhuvanagiri district,71205,0
telangana,2018,3,medak district,48256,0
telangana,2018,3,mahbubnagar district,74581,0
telangana,2018,3,jaya shankar bhalupally district,35388,0
telangana,2018,3,warangal urban district,199919,0
telangana,2018,3,rangareddy district,963186,0
telangana,2018,3,hyderabad district,1024241,0
telangana,2018,3,suryapet district,85201,0
telangana,2018,3,jogulamba gadwal district,35851,0
telangana,2018,3,kamareddy district,61083,0
telangana,2018,3,mulugu district,17937,0
telangana,2018,3,medchal malkajgiri district,828425,0
telangana,2018,3,karimnagar district,148562,0
telangana,2018,3,mancherial district,90605,0
telangana,2018,3,siddipet district,96493,0
telangana,2018,3,khammam district,135353,0
telangana,2019,3,narayanpet district,53512,1197912
telangana,2019,3,nalgonda district,274568,6355907
telangana,2019,3,jangaon district,97865,2765744
telangana,2019,3,bhadradri kothagudem district,187580,4480623
telangana,2019,3,warangal rural district,111605,3335073
telangana,2019,3,kumuram bheem asifabad district,47616,1004225
telangana,2019,3,nizamabad district,248977,5147161
telangana,2019,3,adilabad district,68686,1258579
telangana,2019,3,rajanna sircilla district,95396,2042927
